COD_PERSONA,COD_CURSO,PER_MATRICULA,NOTA_REAL,PROBABILIDAD_RIESGO,DIF_INASISTENCIA_SHOCK,PRCTJ_INASISTENCIA_HISTORICO,EDAD,PROMEDIO_CICLO_PASADO,DIF_PROM_SHOCK,PRCTJ_INASISTENCIA_CICLO_PASADO,PROM_ACUMULADO_HIST,DIF_Q75_Q25_FAMILIA_NG_P,DIF_Q75_Q25_CLUSTER_DIFICULTAD_NG_P,DIF_MAX_MIN_FAMILIA_NG_P,MAX_FAMILIA_NG_P,DIF_Q75_Q25_COD_CURSO_NG,MIN_FAMILIA_NG_P,MIN_CLUSTER_DIFICULTAD_NG_P,PCT_CREDITOS_LLEVADOS,QUARTIL_50_FAMILIA_NG_P,MAX_CLUSTER_DIFICULTAD_NG_P,QUARTIL_75_COD_CURSO_PC,DIF_Q75_Q25_COD_CURSO_PC,MAX_COD_CURSO_PC,QUARTIL_25_CLUSTER_DIFICULTAD_NG_P,AVG_FAMILIA_NG_P,QUARTIL_75_CLUSTER_DIFICULTAD_NG_P,QUARTIL_25_FAMILIA_NG_P,QUARTIL_75_FAMILIA_NG_P,DIF_MAX_MIN_CLUSTER_DIFICULTAD_NG_P,MIN_COD_CURSO_PC,PTJE_INGRESO,PCT_CREDITOS_APROBADOS,AVG_COD_CURSO_NG,QUARTIL_50_COD_CURSO_PC,DIF_MAX_MIN_COD_CURSO_PC,MIN_COD_CURSO_NG,AVG_CLUSTER_DIFICULTAD_NG_P,QUARTIL_50_CLUSTER_DIFICULTAD_NG_P,QUARTIL_75_COD_CURSO_NG,QUARTIL_25_COD_CURSO_PC,MAX_COD_CURSO_NG,N_CREDITOS_ACTUAL,MAX_CLUSTER_DIFICULTAD_PC,PRCTJE_S_COD_CURSO_PC,AVG_COD_CURSO_PC,QUARTIL_50_COD_CURSO_NG,DIF_MAX_MIN_COD_CURSO_NG,PRCTJE_S_COD_CURSO_NG,PRCTJE_S_FAMILIA_NG_P,DIF_MAX_MIN_CLUSTER_DIFICULTAD_PC,QUARTIL_25_COD_CURSO_NG,MIN_FAMILIA_PC,DIF_MAX_MIN_FAMILIA_PC,AVG_CLUSTER_DIFICULTAD_NG,PRCTJE_S_CLUSTER_DIFICULTAD_NG_P,DIF_Q75_Q25_CLUSTER_DIFICULTAD_NG,DIF_Q75_Q25_CLUSTER_DIFICULTAD_PC,NIVEL_CURSO,MIN_CLUSTER_DIFICULTAD_PC,MAX_FAMILIA_PC,PCT_CURSOS_LLEVADOS,DIF_Q75_Q25_FAMILIA_PC,QUARTIL_75_CLUSTER_DIFICULTAD_PC,N_FAMILIA_FG,DIF_Q75_Q25_FAMILIA_NG,N_CLUSTER_7,N_CLUSTER_0,N_CLUSTER_5,MIN_CLUSTER_DIFICULTAD_NG,PCT_CURSOS_APROBADOS,N_CLUSTER_4,N_CLUSTER_2,PRCTJE_S_CLUSTER_DIFICULTAD_NG,QUARTIL_75_CLUSTER_DIFICULTAD_NG,QUARTIL_75_FAMILIA_PC,AVG_FAMILIA_NG,QUARTIL_75_FAMILIA_NG,AVG_FAMILIA_PC,N_FAMILIA_CS,QUARTIL_25_CLUSTER_DIFICULTAD_NG,AVG_CLUSTER_DIFICULTAD_PC,QUARTIL_50_CLUSTER_DIFICULTAD_NG,PRCTJE_S_CLUSTER_DIFICULTAD_PC,N_CURSOS_ACTUAL,QUARTIL_25_FAMILIA_PC,QUARTIL_25_CLUSTER_DIFICULTAD_PC,BECA_VIGENTE,QUARTIL_50_FAMILIA_NG,QUARTIL_50_CLUSTER_DIFICULTAD_PC,DIF_MAX_MIN_CLUSTER_DIFICULTAD_NG,QUARTIL_50_FAMILIA_PC,PRCTJE_S_FAMILIA_PC,N_FAMILIA_MA,DIF_MAX_MIN_FAMILIA_NG,QUARTIL_25_FAMILIA_NG,PRCTJE_S_FAMILIA_NG,MAX_CLUSTER_DIFICULTAD_NG,MIN_FAMILIA_NG,CREDITOS,N_FAMILIA_CB
768,CS391,2019-02,16.3,0.8238998957616747,-7.896984551396319,16.135620915032682,33.58795345653662,11.921999999999999,0.0,8.238636363636363,11.921999999999999,1.9649999999999999,0.0,3.9299999999999997,13.7,2.4700000000000006,9.77,9.77,0.053763440860215055,11.53,9.77,14.52,2.17,16.9,9.77,11.666666666666666,9.77,10.649999999999999,12.614999999999998,0.0,9.2,135.0,0.043010752688172046,13.168527131782946,13.03,7.699999999999999,4.55,9.77,9.77,14.3,12.35,18.55,15,18.55,90.47619047619048,13.166190476190476,12.95,14.0,88.37209302325581,0.6666666666666666,17.970000000000002,11.83,0.15,19.650000000000002,12.188020361990949,0.0,3.1724999999999994,2.870000000000001,7,0.58,19.8,0.056338028169014086,4.280000000000001,14.665000000000001,1,4.229999999999999,0,0,0,0.2,0.04225352112676056,1,0,74.8868778280543,14.64,14.47,11.800756905416716,14.37,11.919402985074628,3,11.467500000000001,12.58951923076923,12.985,80.76923076923077,5,10.19,11.795,0,12.51,13.024999999999999,18.91,12.45,66.62143826322931,0,19.92,10.14,66.96161664474471,19.11,0.08,3,0
12208,MA101,2019-02,12.93,0.8202892669612288,-3.65990990990991,19.28490990990991,25.815195071868583,11.379999999999999,1.8786516853932582,15.625,9.50134831460674,4.672499999999999,5.149999999999999,9.52,13.7,4.485000000000001,4.18,4.18,0.31899641577060933,7.705,14.11,11.895,2.5700000000000003,13.82,8.55,8.385,13.7,5.9725,10.645,9.93,7.73,120.0,0.11827956989247312,11.282902374670183,11.14,6.09,1.0,10.586666666666666,10.65,13.780000000000001,9.325,19.3,16,19.8,43.75,10.75125,11.67,18.3,54.61741424802111,0.16666666666666666,19.6,9.295,0.56,18.970000000000002,11.513701805758906,0.4444444444444444,4.6,4.84,2,0.2,19.53,0.3380281690140845,5.120000000000001,14.14,0,4.600000000000001,3,0,0,0.16,0.14084507042253522,1,0,60.24890190336749,14.08,14.07,10.909696143358007,13.445,11.230563380281689,2,9.48,11.453794117647059,12.06,58.529411764705884,4,8.95,9.3,0,11.61,11.79,19.84,11.95,57.74647887323944,2,19.9,8.844999999999999,53.60342812621738,20.0,0.1,4,0
12208,CS210,2019-02,12.18,0.8323588797910116,-3.632478632478634,19.257478632478634,25.815195071868583,11.379999999999999,1.8786516853932582,15.625,9.50134831460674,6.719999999999999,5.149999999999999,11.85,14.7,4.309999999999999,2.85,4.18,0.31899641577060933,10.04,14.11,10.6625,3.3049999999999997,14.12,8.55,9.506363636363636,13.7,6.505000000000001,13.225,9.93,1.42,120.0,0.11827956989247312,11.51226235741445,9.625,12.7,0.83,10.586666666666666,10.65,13.9475,7.3575,19.52,16,19.8,22.727272727272727,8.493181818181817,12.195,18.69,62.3574144486692,0.36363636363636365,19.6,9.637500000000001,0.15,19.650000000000002,11.513701805758906,0.4444444444444444,4.6,4.84,4,0.2,19.8,0.3380281690140845,4.280000000000001,14.14,0,4.229999999999999,3,0,0,0.16,0.14084507042253522,1,0,60.24890190336749,14.08,14.47,11.800756905416716,14.37,11.919402985074628,2,9.48,11.453794117647059,12.06,58.529411764705884,4,10.19,9.3,0,12.51,11.79,19.84,12.45,66.62143826322931,2,19.92,10.14,66.96161664474471,20.0,0.08,4,0
12208,CS1D2,2019-02,11.84,0.6768849142591308,-3.411458333333332,19.036458333333332,25.815195071868583,11.379999999999999,1.8786516853932582,15.625,9.50134831460674,6.719999999999999,5.149999999999999,11.85,14.7,4.245000000000001,2.85,4.18,0.31899641577060933,10.04,14.11,12.3825,5.0725,16.22,8.55,9.506363636363636,13.7,6.505000000000001,13.225,9.93,2.93,120.0,0.11827956989247312,11.100907127429807,10.075,13.29,0.16,10.586666666666666,10.65,13.475000000000001,7.3100000000000005,19.33,16,19.8,36.84210526315789,9.89473684210526,11.94,19.169999999999998,56.587473002159825,0.36363636363636365,19.6,9.23,0.15,19.650000000000002,11.513701805758906,0.4444444444444444,4.6,4.84,2,0.2,19.8,0.3380281690140845,4.280000000000001,14.14,0,4.229999999999999,3,0,0,0.16,0.14084507042253522,1,0,60.24890190336749,14.08,14.47,11.800756905416716,14.37,11.919402985074628,2,9.48,11.453794117647059,12.06,58.529411764705884,4,10.19,9.3,0,12.51,11.79,19.84,12.45,66.62143826322931,2,19.92,10.14,66.96161664474471,20.0,0.08,4,0
12604,CS402,2019-02,15.23,0.7645447083406882,11.743986254295535,18.256013745704465,26.598220396988363,12.084444444444445,-0.31259903381642573,30.0,12.397043478260871,3.9049999999999994,4.945,11.18,15.32,10.872499999999999,4.14,5.16,0.4121863799283154,11.74,15.05,13.575,8.09,16.29,8.42,11.357894736842105,13.365,9.620000000000001,13.525,9.89,0.58,98.0,0.3118279569892473,9.89662162162162,11.78,15.709999999999999,0.2,10.63,11.68,14.049999999999999,5.485,17.3,17,18.55,53.333333333333336,9.741999999999999,12.155000000000001,17.1,55.4054054054054,0.631578947368421,17.970000000000002,3.1775,0.15,19.650000000000002,12.188020361990949,0.6666666666666666,3.1724999999999994,2.870000000000001,8,0.58,19.8,0.5070422535211268,4.280000000000001,14.665000000000001,1,4.229999999999999,0,1,0,0.2,0.39436619718309857,2,0,74.8868778280543,14.64,14.47,11.800756905416716,14.37,11.919402985074628,4,11.467500000000001,12.58951923076923,12.985,80.76923076923077,5,10.19,11.795,0,12.51,13.024999999999999,18.91,12.45,66.62143826322931,0,19.92,10.14,66.96161664474471,19.11,0.08,3,0
12604,CS342,2019-02,12.03,0.8409281589770039,11.606543624161073,18.393456375838927,26.598220396988363,12.084444444444445,-0.31259903381642573,30.0,12.397043478260871,3.9049999999999994,2.879999999999999,11.18,15.32,2.4574999999999996,4.14,4.14,0.4121863799283154,11.74,13.93,13.91,1.6549999999999994,15.19,9.73,11.357894736842105,12.61,9.620000000000001,13.525,9.79,4.14,98.0,0.3118279569892473,12.492083333333333,13.57,11.05,3.12,10.641428571428573,11.74,14.03,12.255,18.94,17,17.81,87.5,12.29875,12.6,15.82,79.16666666666666,0.631578947368421,17.33,11.5725,0.15,19.650000000000002,12.776266666666666,0.5714285714285714,2.799999999999999,2.2650000000000006,8,0.48,19.8,0.5070422535211268,4.280000000000001,13.785,1,4.229999999999999,0,1,0,0.1,0.39436619718309857,2,0,80.3076923076923,14.45,14.47,11.800756905416716,14.37,11.919402985074628,4,11.65,12.193114754098362,13.0,75.40983606557377,5,10.19,11.52,0,12.51,12.66,19.9,12.45,66.62143826322931,0,19.92,10.14,66.96161664474471,20.0,0.08,4,0
12604,CS3P1,2019-02,11.97,0.9261761977221757,11.352796052631579,18.64720394736842,26.598220396988363,12.084444444444445,-0.31259903381642573,30.0,12.397043478260871,3.9049999999999994,2.879999999999999,11.18,15.32,2.509999999999998,4.14,4.14,0.4121863799283154,11.74,13.93,13.817499999999999,0.7149999999999999,15.17,9.73,11.357894736842105,12.61,9.620000000000001,13.525,9.79,12.04,98.0,0.3118279569892473,12.244923076923076,13.43,3.130000000000001,3.08,10.641428571428573,11.74,14.075,13.1025,17.83,17,17.81,100.0,13.501666666666665,12.84,14.749999999999998,77.6923076923077,0.631578947368421,17.33,11.565000000000001,0.15,19.650000000000002,12.776266666666666,0.5714285714285714,2.799999999999999,2.2650000000000006,8,0.48,19.8,0.5070422535211268,4.280000000000001,13.785,1,4.229999999999999,0,1,0,0.1,0.39436619718309857,2,0,80.3076923076923,14.45,14.47,11.800756905416716,14.37,11.919402985074628,4,11.65,12.193114754098362,13.0,75.40983606557377,5,10.19,11.52,0,12.51,12.66,19.9,12.45,66.62143826322931,0,19.92,10.14,66.96161664474471,20.0,0.08,4,0
13306,MA306,2019-02,14.85,0.9575676718303356,-5.229591836734695,29.336734693877553,29.248459958932237,9.8575,0.0,24.107142857142858,9.8575,6.404999999999999,0.0,12.809999999999999,13.45,3.2799999999999994,0.64,0.64,0.05734767025089606,7.045,0.64,14.475000000000001,2.4750000000000014,16.2,0.64,7.045,0.64,3.8425,10.247499999999999,0.0,2.4,186.0,0.02867383512544803,11.26348623853211,13.5,13.799999999999999,0.24,0.64,0.64,13.25,12.0,18.76,14,19.8,86.95652173913044,12.863043478260868,11.8,18.520000000000003,57.3394495412844,0.5,19.6,9.97,0.56,18.970000000000002,11.513701805758906,0.0,4.6,4.84,5,0.2,19.53,0.056338028169014086,5.120000000000001,14.14,0,4.600000000000001,1,0,0,0.16,0.028169014084507043,2,0,60.24890190336749,14.08,14.07,10.909696143358007,13.445,11.230563380281689,2,9.48,11.453794117647059,12.06,58.529411764705884,4,8.95,9.3,0,11.61,11.79,19.84,11.95,57.74647887323944,2,19.9,8.844999999999999,53.60342812621738,20.0,0.1,3,0
13306,MA307,2019-02,12.55,0.5256925113235081,-3.3234126984126995,27.430555555555557,29.248459958932237,9.8575,0.0,24.107142857142858,9.8575,6.404999999999999,1.5,12.809999999999999,13.45,2.7925000000000004,0.64,11.17,0.05734767025089606,7.045,14.17,11.9875,1.9625000000000004,15.65,12.309999999999999,7.045,13.809999999999999,3.8425,10.247499999999999,3.0,9.3,186.0,0.02867383512544803,12.3436875,11.725,6.35,3.4,12.93,13.45,14.175,10.025,18.64,14,17.81,57.14285714285714,11.535714285714286,12.440000000000001,15.24,73.75,0.5,17.33,11.3825,0.56,18.970000000000002,12.776266666666666,0.6666666666666666,2.799999999999999,2.2650000000000006,6,0.48,19.53,0.056338028169014086,5.120000000000001,13.785,0,4.600000000000001,1,0,0,0.1,0.028169014084507043,2,0,80.3076923076923,14.45,14.07,10.909696143358007,13.445,11.230563380281689,2,11.65,12.193114754098362,13.0,75.40983606557377,4,8.95,11.52,0,11.61,12.66,19.9,11.95,57.74647887323944,2,19.9,8.844999999999999,53.60342812621738,20.0,0.1,4,0
13306,CS3P1,2019-02,11.57,0.9267415151400176,-3.288690476190478,27.395833333333336,29.248459958932237,9.8575,0.0,24.107142857142858,9.8575,1.5,1.5,3.0,14.17,2.509999999999998,11.17,11.17,0.05734767025089606,12.67,14.17,13.817499999999999,0.7149999999999999,15.17,12.309999999999999,12.67,13.809999999999999,11.92,13.42,3.0,12.04,186.0,0.02867383512544803,12.244923076923076,13.43,3.130000000000001,3.08,12.93,13.45,14.075,13.1025,17.83,14,17.81,100.0,13.501666666666665,12.84,14.749999999999998,77.6923076923077,0.5,17.33,11.565000000000001,0.15,19.650000000000002,12.776266666666666,0.6666666666666666,2.799999999999999,2.2650000000000006,8,0.48,19.8,0.056338028169014086,4.280000000000001,13.785,0,4.229999999999999,1,0,0,0.1,0.028169014084507043,2,0,80.3076923076923,14.45,14.47,11.800756905416716,14.37,11.919402985074628,2,11.65,12.193114754098362,13.0,75.40983606557377,4,10.19,11.52,0,12.51,12.66,19.9,12.45,66.62143826322931,2,19.92,10.14,66.96161664474471,20.0,0.08,4,0
